,Rank_MOJO_by_Box_office,Title,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
627,"1,400","Not Quite Hollywood: The Wild, Untold Story of Ozploitation!","$21,152",6,"$4,694",2,"Jul 31, 2009",Magnolia Pictures,7.7,76.0,"3,929",1h 43min,28 August 2008 (Australia),Mark Hartley
628,"1,405",Cameraman: The Life and Work of Jack Cardiff,"$20,840",3,"$1,998",1,"May 13, 2011",Strand Releasing,7.7,71.0,"1,152",1h 26min,13 May 2011 (USA),Craig McCall
629,"1,415",The Devil and Father Amorth,"$20,449",8,"$7,814",8,"Apr 20, 2018",The Orchard,4.6,,"1,870",1h 8min,20 April 2018 (USA),William Friedkin
630,"1,417",Orwell Rolls in His Grave,"$20,389",3,"$6,059",1,"Jul 23, 2004",-,8.0,,"1,097",1h 24min,19 November 2004 (UK),Robert Kane Pappas
631,"1,422",Zizek!,"$20,177",1,"$7,062",1,"Nov 18, 2005",Zeitgeist Films,7.3,,"1,555",1h 11min,26 April 2007 (Germany),Astra Taylor
632,"1,423",Shoah,"$20,175",1,"$2,874",1,"Dec 10, 2010",IFC Films,8.6,99.0,"8,281",9h 26min,November 1985 (USA),Claude Lanzmann
633,"1,435",Active Measures,"$19,862",2,"$9,509",2,"Aug 31, 2018",-,7.9,68.0,"7,388",1h 49min,31 August 2018 (USA),Jack Bryan
634,"1,439",Misery Loves Comedy,"$19,634",8,"$5,300",1,"Apr 24, 2015",Tribeca Film,6.3,,"1,085",1h 34min,14 April 2015 (USA),Kevin Pollak
635,"1,450",The Kill Team,"$18,983",2,-,-,"Jul 25, 2014",Oscilloscope,7.0,72.0,"1,169",1h 19min,26 April 2013 (USA),Dan Krauss
636,"1,467",Dear Zachary: A Letter to a Son About His Father,"$18,334",3,"$2,886",1,"Oct 31, 2008",Oscilloscope,8.5,82.0,"32,511",1h 35min,January 2008 (USA),Kurt Kuenne
637,"1,473",Casting By,"$18,164",2,"$5,649",2,"Nov 1, 2013",Submarine Deluxe,7.6,70.0,"1,435",1h 29min,1 November 2013 (USA),Tom Donahue
638,"1,476",Holy Hell,"$18,051",3,"$9,238",3,"May 27, 2016",WRA Productions,7.0,64.0,"5,041",1h 40min,27 May 2016 (USA),Will Allen
639,"1,485",The Last Shaman,"$17,844",4,"$6,799",1,"May 12, 2017",Abramorama,6.7,,"1,157",1h 17min,1 September 2017 (USA),Raz Degan
640,"1,505",Who Took Johnny,"$16,595",2,"$7,666",1,"Apr 24, 2015",Rumur Releasing,7.2,,"2,554",1h 21min,2016 (USA),David Beilinson
641,"1,510",Genesis,"$16,413",1,"$4,891",1,"May 27, 2005",THINKFilm,7.1,74.0,"1,393",1h 21min,20 October 2004 (France),Claude Nuridsany
642,"1,511",Mission Control: The Unsung Heroes of Apollo,"$16,405",15,-,-,"Apr 14, 2017",-,7.6,71.0,"1,235",1h 41min,14 March 2017 (USA),David Fairhead
643,"1,515",Faster,"$16,265",1,"$13,995",1,"Apr 23, 2004",-,7.8,,"1,308",1h 43min,7 March 2004 (USA),Mark Neale
644,"1,516",I Like Killing Flies,"$16,214",2,"$5,487",1,"Jul 28, 2006",THINKFilm,7.3,71.0,"1,146",1h 20min,January 2004 (USA),Matt Mahurin
645,"1,535",Full Tilt Boogie,"$15,313",6,"$9,895",6,"Jul 31, 1998",Miramax,6.6,,"2,591",1h 37min,31 July 1998 (USA),Sarah Kelly
646,"1,544",Wrinkles the Clown,"$14,938",21,"$28,248",21,"Oct 4, 2019",Magnolia Pictures,4.8,,950,1h 18min,4 October 2019 (USA),Michael Beach Nichols
647,"1,546",ZZ Top: That Little Ol' Band from Texas,"$14,879",8,-,-,"Aug 19, 2019",Abramorama,7.5,64.0,"1,063",1h 31min,4 September 2019 (Australia),Sam Dunn
648,"1,549",The Farthest,"$14,773",2,"$6,900",2,"Aug 11, 2017",Abramorama,8.1,87.0,"3,748",2h 1min,11 August 2017 (USA),Emer Reynolds
649,"1,550",Last Men in Aleppo,"$14,637",5,"$1,505",1,"May 5, 2017",Grasshopper Film,7.4,80.0,"2,580",1h 23min,27 June 2017 (USA),Feras Fayyad
650,"1,552",Armadillo,"$14,566",1,"$3,958",1,"Apr 15, 2011",Lorber Films,7.5,72.0,"9,216",1h 45min,27 May 2010 (Denmark),Janus Metz
651,"1,558",The Two Escobars,"$14,457",1,-,-,"Aug 27, 2010",All Rise Films,8.2,,"1,746",1h 44min,27 August 2010 (USA),Jeff Zimbalist
652,"1,559",The Unbelievers,"$14,400",1,"$5,925",1,"Nov 29, 2013",-,6.9,,"6,422",1h 17min,13 December 2013 (USA),Gus Holwerda
653,"1,565",Newtown,"$14,109",3,"$6,796",2,"Oct 7, 2016",Abramorama,6.8,87.0,"1,621",1h 25min,24 January 2016 (USA),Kim A. Snyder
654,"1,567",Screwball,"$13,967",13,"$8,595",13,"Mar 29, 2019",Greenwich Entertainment,7.1,72.0,"1,129",1h 45min,29 March 2019 (USA),Billy Corben
655,"1,573",Who the #$&% Is Jackson Pollock?,"$13,710",2,"$5,526",2,"Nov 15, 2006",Picturehouse,7.0,70.0,"1,175",1h 14min,9 November 2006 (USA),Harry Morgan Moses
656,"1,584",Red Obsession,"$13,199",3,"$5,060",2,"Sep 6, 2013",Area 23a,6.7,68.0,"1,224",1h 15min,6 September 2013 (USA),David Roach
657,"1,590",K2: Siren of the Himalayas,"$12,959",2,"$1,421",2,"Aug 22, 2014",First Run,7.2,63.0,927,1h 15min,4 November 2014 (USA),Dave Ohlson
658,"1,593",Children Underground,"$12,798",1,"$3,075",1,"Sep 19, 2001",Cinemax,8.3,85.0,"2,190",1h 44min,5 October 2003 (Australia),Edet Belzberg
659,"1,595",Heal,"$12,668",1,"$12,668",1,"Oct 20, 2017",Paladin,6.9,,"1,887",1h 46min,20 October 2017 (USA),Kelly Noonan
660,"1,598",Of Fathers and Sons,"$12,579",6,$340,1,"Nov 16, 2018",Kino Lorber,7.3,70.0,"2,075",1h 39min,16 November 2018 (USA),Talal Derki
661,"1,608",Elstree 1976,"$12,173",14,"$3,270",14,"May 6, 2016",FilmRise,5.9,66.0,"1,307",1h 37min,6 May 2016 (USA),Jon Spira
662,"1,612",The Most Unknown,"$12,119",2,"$2,905",1,"May 18, 2018",Abramorama,6.6,,"1,596",1h 32min,9 August 2018 (UK),Ian Cheney
663,"1,616",A Murder in the Park,"$12,088",3,"$1,310",1,"Jun 26, 2015",IFC Films,7.3,70.0,"1,081",1h 31min,26 June 2015 (USA),Shawn Rech
664,"1,619",Defamation,"$12,038",4,"$4,725",4,"Nov 20, 2009",First Run,7.4,,"1,318",1h 31min,2009 (Israel),Yoav Shamir
665,"1,622",Minding the Gap,"$11,998",5,"$6,812",4,"Aug 17, 2018",Magnolia Pictures,8.1,90.0,"7,388",1h 33min,17 August 2018 (USA),Bing Liu
666,"1,635",My Voyage to Italy,"$11,683",1,"$7,117",1,"Oct 24, 2001",Miramax,8.2,90.0,"2,992",4h 6min,16 May 2002 (France),Martin Scorsese
667,"1,644",The Final Member,"$11,428",10,"$2,064",7,"Apr 18, 2014",Drafthouse Films,6.5,67.0,"1,110",1h 15min,18 April 2014 (USA),Jonah Bekhor
668,"1,679",Liv & Ingmar,"$10,347",2,"$5,451",2,"Dec 13, 2013",Janus Films,7.4,74.0,"1,563",1h 29min,28 September 2012 (Norway),Dheeraj Akolkar
669,"1,683",The Endless Summer,"$10,233",32,-,-,"Jul 23, 2014",Monterey Media,7.7,,"5,046",1h 35min,18 February 1965 (Australia),Bruce Brown
670,"1,684",The Forecaster,"$10,172",1,-,-,"Mar 27, 2015",-,6.7,,"1,143",1h 40min,7 May 2015 (Germany),Marcus Vetter
671,"1,688",The Sunshine Makers,"$10,042",7,"$1,874",1,"Jan 20, 2017",FilmRise,7.0,68.0,"1,248",1h 41min,13 January 2017 (USA),Cosmo Feilding-Mellen
672,"1,693",Streetwise,"$9,904",1,"$5,006",1,"Jul 19, 2019",Janus Films,8.2,,"1,645",1h 31min,26 October 1984 (USA),Martin Bell
673,"1,695",Birth of the Living Dead,"$9,802",10,"$1,239",6,"Oct 18, 2013",First Run,7.0,65.0,"1,542",1h 16min,18 October 2013 (USA),Rob Kuhns
674,"1,726",Survivors Guide To Prison,"$8,982",4,"$8,982",4,"Feb 23, 2018",Gravitas Ventures,7.1,66.0,995,1h 42min,23 February 2018 (USA),Matthew Cooke
675,"1,727",Magnus,"$8,944",6,"$1,204",1,"Nov 18, 2016",FilmRise,7.1,,"1,823",1h 18min,18 November 2016 (USA),Benjamin Ree
676,"1,739",The Institute,"$8,445",4,"$3,017",2,"Oct 4, 2013",Argot Pictures,6.2,,"1,164",1h 32min,11 October 2013 (USA),Spencer McCall
677,"1,742",Dreams of a Life,"$8,405",1,"$3,085",1,"Aug 3, 2012",Strand Releasing,6.8,62.0,"2,938",1h 35min,3 August 2012 (USA),Carol Morley
678,"1,743",Downloaded,"$8,377",2,"$2,504",2,"Jun 21, 2013",Abramorama,6.9,,"2,656",1h 46min,1 July 2013 (USA),Alex Winter
679,"1,750",We Are Twisted Fucking Sister!,"$8,277",8,"$5,804",6,"Feb 19, 2016",Music Box Films,7.1,65.0,"1,578",2h 15min,19 February 2016 (USA),Andrew Horn
680,"1,751",Silicon Cowboys,"$8,239",12,"$5,724",12,"Sep 16, 2016",FilmRise,6.8,75.0,"1,861",1h 17min,16 September 2016 (USA),Jason Cohen
681,"1,758",The Other Side,"$8,074",1,"$1,246",1,"May 20, 2016",Film Movement,6.7,65.0,"1,053",1h 32min,28 May 2015 (Italy),Roberto Minervini
682,"1,776",Last Days Here,"$7,643",1,"$2,671",1,"Mar 2, 2012",IFC Films,7.5,71.0,"1,746",1h 31min,29 April 2011 (USA),Don Argott
683,"1,778",Tales from the Script,"$7,535",1,"$1,938",1,"Mar 12, 2010",First Run,7.1,,"1,430",1h 45min,10 January 2009 (USA),Peter Hanson
684,"1,781",loudQUIETloud: A Film About the Pixies,"$7,506",3,"$3,792",3,"Sep 29, 2006",Roxie Releasing,7.2,63.0,"1,299",1h 25min,3 February 2007 (Japan),Steven Cantor
685,"1,784",On the Way to School,"$7,424",2,-,-,"Feb 6, 2015",Distrib Films,7.4,,"2,278",1h 21min,23 October 2009 (Turkey),Özgür Dogan
686,"1,784",On the Way to School,"$7,424",2,-,-,"Feb 6, 2015",Distrib Films,7.4,,"1,097",1h 17min,25 September 2013 (France),Pascal Plisson
687,"1,785",Rubble Kings,"$7,416",3,-,-,"Jun 19, 2015",Saboteur Media,7.1,62.0,"1,055",1h 11min,23 October 2010 (USA),Shan Nicholson
688,"1,793",I Am Ali,"$7,205",11,"$4,178",11,"Oct 10, 2014",Focus World,7.2,,"3,458",1h 51min,28 November 2014 (UK),Clare Lewins
689,"1,801",Corman's World: Exploits of a Hollywood Rebel,"$7,000",2,"$7,000",2,"Dec 16, 2011",Anchor Bay Films,7.5,,"2,252",1h 35min,21 February 2012 (UK),Alex Stapleton
690,"1,804","Love, Marilyn","$6,950",1,"$4,000",1,"Nov 30, 2012",Submarine Deluxe,7.3,,"1,661",1h 47min,16 May 2013 (Hong Kong),Liz Garbus
691,"1,805",Los Angeles Plays Itself,"$6,945",1,"$5,005",1,"Jul 28, 2004",-,8.0,86.0,"2,139",2h 49min,January 2004 (USA),Thom Andersen
692,"1,811",Steve McQueen: The Man & Le Mans,"$6,843",2,"$4,079",2,"Nov 13, 2015",FilmRise,6.8,64.0,"1,380",1h 42min,13 November 2015 (USA),Gabriel Clarke
693,"1,830",The Red Chapel,"$6,196",2,"$2,459",1,"Dec 29, 2010",Lorber Films,7.3,,"1,780",1h 28min,29 December 2010 (USA),Mads Brügger
694,"1,841",The Work,"$5,853",2,"$3,286",2,"Oct 27, 2017",The Orchard,7.8,84.0,"1,979",1h 29min,8 September 2017 (UK),Jairus McLeary
695,"1,854",American Grindhouse,"$5,529",2,-,-,"Jun 18, 2010",Lorber Films,7.1,,"2,198",1h 20min,13 March 2010 (USA),Elijah Drenner
696,"1,878",Street Fight,"$4,779",2,"$3,888",2,"Feb 22, 2006",Frontier Films,7.9,85.0,"1,892",1h 23min,23 April 2005 (USA),Marshall Curry
697,"1,896",Generation Iron 2,"$4,439",2,-,2,"May 12, 2017",-,6.1,,"2,240",1h 46min,12 May 2017 (USA),Vlad Yudin
698,"1,903",McLibel,"$4,337",3,"$1,821",1,"Jun 10, 2005",Cinema Libre Studio,7.2,81.0,"2,057",1h 25min,20 May 2005 (USA),Ken Loach
699,"1,911",Heavy Metal in Baghdad,"$4,070",2,"$2,012",2,"May 23, 2008",Arts Alliance America,7.7,,"1,077",1h 24min,23 May 2008 (USA),Suroosh Alvi
700,"1,914",Dream Boat,"$3,981",1,"$2,199",1,"Nov 3, 2017",Strand Releasing,5.3,,"1,542",1h 32min,13 July 2017 (Germany),Tristan Ferland Milewski
701,"1,926",In the Basement,"$3,643",1,$748,1,"Nov 6, 2015",Strand Releasing,6.7,68.0,"2,390",1h 21min,26 September 2014 (Austria),Ulrich Seidl
702,"1,927",Stop The Pounding Heart,"$3,642",1,"$2,363",1,"Sep 19, 2014",Big World Pictures,6.7,70.0,927,1h 38min,5 December 2013 (Italy),Roberto Minervini
703,"1,934",Revolution OS,"$3,500",1,"$3,500",1,"Aug 23, 2002",Seventh Art Releasing,7.3,,"2,372",1h 25min,15 February 2002 (USA),J.T.S. Moore
704,"1,934",That Sugar Film,"$3,500",10,"$3,500",10,"Jul 31, 2015",The Samuel Goldwyn Company,7.5,,"9,098",1h 30min,31 July 2015 (USA),Damon Gameau
705,"1,937",The Hacker Wars,"$3,470",1,"$2,958",1,"Oct 17, 2014",Vitagraph Films,6.5,,931,1h 31min,17 October 2014 (USA),Vivien Lesnik Weisman
706,"1,948",Plastic Planet,"$3,164",2,$740,1,"Jan 14, 2011",First Run,7.3,,"1,165",1h 35min,18 September 2009 (Austria),Werner Boote
707,"1,953",Showrunners: The Art of Running a TV Show,"$3,100",1,"$3,100",1,"Oct 31, 2014",Submarine Deluxe,6.7,68.0,"1,125",1h 30min,17 October 2014 (Ireland),Des Doyle
708,"1,956",Drew: The Man Behind the Poster,"$3,078",1,"$1,764",1,"Aug 14, 2013",Kino Lorber,7.5,,921,1h 37min,19 July 2013 (USA),Erik Sharkey
709,"1,972",Knuckle,"$2,647",3,"$2,647",3,"Dec 9, 2011",Vitagraph Films,6.8,65.0,"2,693",1h 37min,2011 (USA),Ian Palmer
710,"1,986",You're Gonna Miss Me,"$2,324",1,"$1,340",1,"Jun 8, 2007",Palm Pictures,7.6,64.0,988,1h 31min,15 March 2005 (USA),Keven McAlester
711,"1,991",Workingman's Death,"$2,214",2,"$2,214",2,"Feb 24, 2006",Seventh Art Releasing,8.0,67.0,"1,647",2h 2min,25 November 2005 (Austria),Michael Glawogger
712,"1,998","Accidental Courtesy: Daryl Davis, Race & America","$1,940",1,"$1,452",1,"Jan 6, 2017",First Run,7.7,63.0,"1,019",1h 36min,23 February 2017 (USA),Matthew Ornstein
713,"2,027",Jason Becker: Not Dead Yet,"$1,294",2,$319,2,"Dec 12, 2012",Kino Lorber,8.1,70.0,"1,138",1h 27min,16 November 2012 (UK),Jesse Vile
714,"2,030",The Trials of Darryl Hunt,"$1,217",2,$619,2,"Jun 15, 2007",THINKFilm,7.5,,996,1h 46min,January 2006 (USA),Ricki Stern
